cancelled,commuterLineID,departureDate,operatorShortCode,operatorUICCode,runningCurrently,timetableAcceptanceDate,timetableType,trainCategory,trainNumber,trainType,version,timeTableRows_actualTime,timeTableRows_cancelled,timeTableRows_causes,timeTableRows_commercialStop,timeTableRows_commercialTrack,timeTableRows_countryCode,timeTableRows_differenceInMinutes,timeTableRows_estimateSource,timeTableRows_liveEstimateTime,timeTableRows_scheduledTime,timeTableRows_stationShortCode,timeTableRows_stationUICCode,timeTableRows_trainReady,timeTableRows_trainReady_accepted,timeTableRows_trainReady_source,timeTableRows_trainReady_timestamp,timeTableRows_trainStopping,timeTableRows_type
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:24:58.000Z,False,[],True,7,FI,1,,,2020-01-01T12:24:00.000Z,HKI,1,,True,KUPLA,2020-01-01T12:23:16.000Z,True,DEPARTURE
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:30:53.000Z,False,[],True,3,FI,2,,,2020-01-01T12:29:00.000Z,PSL,10,,,,,True,ARRIVAL
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:32:34.000Z,False,[],True,3,FI,3,,,2020-01-01T12:30:00.000Z,PSL,10,,,,,True,DEPARTURE
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:34:44.000Z,False,[],,,FI,3,,,2020-01-01T12:32:00.000Z,KÄP,977,,,,,False,ARRIVAL
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:34:44.000Z,False,[],,,FI,3,,,2020-01-01T12:32:00.000Z,KÄP,977,,,,,False,DEPARTURE
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:35:29.000Z,False,[],,,FI,2,,,2020-01-01T12:33:00.000Z,OLK,15,,,,,False,ARRIVAL
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:35:29.000Z,False,[],,,FI,2,,,2020-01-01T12:33:00.000Z,OLK,15,,,,,False,DEPARTURE
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:36:27.000Z,False,[],,,FI,2,,,2020-01-01T12:34:10.000Z,PMK,551,,,,,False,ARRIVAL
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:36:27.000Z,False,[],,,FI,2,,,2020-01-01T12:34:10.000Z,PMK,551,,,,,False,DEPARTURE
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:37:15.000Z,False,[],,2,FI,2,,,2020-01-01T12:35:00.000Z,ML,17,,,,,False,ARRIVAL
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:37:15.000Z,False,[],,2,FI,2,,,2020-01-01T12:35:00.000Z,ML,17,,,,,False,DEPARTURE
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:37:51.000Z,False,[],,,FI,1,,,2020-01-01T12:36:23.000Z,TNA,552,,,,,False,ARRIVAL
False,,2020-01-01,vr,10,False,2019-11-08T10:34:22.000Z,REGULAR,Long-distance,27,IC,266086366790,2020-01-01T12:37:51.000Z,False,[],,,FI,1,,,2020-01-01T12:36:23.000Z,TNA,552,,,,,False,DEPARTURE
